split_id,split_kind,field_name,selected_field_count,mean_jaccard_to_main_splits,train_iqr,validation_iqr,validation_to_train_iqr_ratio,train_mean,validation_mean,validation_to_train_mean_ratio,fit_role,outer_test_opened
leave_one_view_out__fold01__candidate_327,main_selection,eeg.f7,12,1.0,73.31371402740479,103.8182430267334,1.4160821669452726,74.80149912834167,89.84655380249023,1.2011330635009707,inner_train,False
leave_one_view_out__fold01__candidate_327,main_selection,eeg.f8,12,1.0,65.06573486328125,76.4736328125,1.175328811288914,73.27320861816406,77.70499674479167,1.0604830634580535,inner_train,False
leave_one_view_out__fold01__candidate_327,main_selection,eeg.fp1,12,1.0,77.67229342460632,114.98852205276489,1.4804316569380056,74.70860385894775,97.51599423090617,1.3052846552322073,inner_train,False
leave_one_view_out__fold01__candidate_327,main_selection,eeg.fp2,12,1.0,86.91754150390625,116.73757934570312,1.3430842304767294,86.95663452148438,125.8989766438802,1.4478363535651135,inner_train,False
leave_one_view_out__fold01__candidate_327,main_selection,eeg.fpz,12,1.0,79.6783447265625,117.8333740234375,1.4788632272396491,78.47564697265625,106.83467610677083,1.3613736264448497,inner_train,False
leave_one_view_out__fold01__candidate_327,main_selection,eeg.fz,12,1.0,77.8818359375,782.0078125,10.0409524645459,71.042724609375,438.7415364583333,6.17574197598322,inner_train,False
leave_one_view_out__fold01__candidate_327,main_selection,spo2.toi1,12,1.0,0.4546031951904297,0.5710601806640625,1.2561728265566852,0.5567214488983154,0.9435606002807617,1.6948522499859746,inner_train,False
leave_one_view_out__fold01__candidate_327,main_selection,spo2.toi2,12,1.0,0.6655349731445312,0.5300540924072266,0.7964331159079706,0.5777711868286133,0.6215375264485677,1.0757502980724738,inner_train,False
legacy_diagnostic__leave_one_view_out__fold01,distribution_pressure_diagnostic,eeg.af3,11,0.9166666666666666,47.94167709350586,73.49812316894531,1.5330736767008368,62.450767262776694,82.14637171427408,1.3153781020595532,inner_train,False
legacy_diagnostic__leave_one_view_out__fold01,distribution_pressure_diagnostic,eeg.af4,11,0.9166666666666666,70.07832336425781,80.58083724975586,1.1498682243139204,73.63781331380208,83.6689016977946,1.1362219752675948,inner_train,False
legacy_diagnostic__leave_one_view_out__fold01,distribution_pressure_diagnostic,eeg.f3,11,0.9166666666666666,77.4793701171875,65.482177734375,0.8451562994811812,69.9400390625,56.154622395833336,0.8028966404444283,inner_train,False
legacy_diagnostic__leave_one_view_out__fold01,distribution_pressure_diagnostic,eeg.f4,11,0.9166666666666666,63.221923828125,84.43084716796875,1.3354678575979795,63.98257649739583,60.143697102864586,0.9400011752467097,inner_train,False
legacy_diagnostic__leave_one_view_out__fold01,distribution_pressure_diagnostic,eeg.f7,11,0.9166666666666666,46.04179239273071,91.12805211544037,1.979246405920289,57.32923596700032,80.3556289990743,1.4016518386068908,inner_train,False
legacy_diagnostic__leave_one_view_out__fold01,distribution_pressure_diagnostic,eeg.f8,11,0.9166666666666666,60.33856201171875,73.5511474609375,1.2189741519967388,62.64003092447917,76.69259440104166,1.224338386638166,inner_train,False
