dataset,task,consumer,method,seed,fold,role,metric,value,direction,status,reason,smoke_only,representation_family
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,frame_macro_f1,0.24921949632508275,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.10,0.2824998330108898,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.25,0.20378637555956103,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,segmental_f1_iou_0.50,0.12201647612653048,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_f1_1s,0.14220294439019202,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_f1_2s,0.21872488072144824,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,edit_score,0.3477294887822624,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,vehicle_only,17,simulation_g1_to_g2_end_to_end__seed_17,held_out,boundary_detection_delay_s,2.0554711246200608,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,macro_f1,0.29764309764309765,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,balanced_accuracy,0.3324168122317828,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,macro_auprc,0.3362422137627403,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,brier_score,0.7103949356427703,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_classification,end_to_end_linear,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,ece_10_bins,0.11671245129158099,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,mae,0.3039592852195104,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,rmse,0.36648430951957756,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_future_workload_regression,end_to_end_linear,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,spearman,-0.1962425393380358,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,frame_macro_f1,0.3746977868041904,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.10,0.2818442326765967,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.25,0.19939658596103735,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.50,0.12268275535117106,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,boundary_f1_1s,0.16875570181654154,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,boundary_f1_2s,0.23561006026339223,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,edit_score,0.27030702642365273,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_raw,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,boundary_detection_delay_s,2.8310643564356437,lower,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,frame_macro_f1,0.40877562603865014,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.10,0.3974832827620818,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.25,0.3195780197924805,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,segmental_f1_iou_0.50,0.20957301424519562,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,boundary_f1_1s,0.1938491339313708,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,boundary_f1_2s,0.26559228174359756,higher,available,,False,end_to_end_finetuned_v1
model_independent_aviation_simulation,simulated_maneuver_state_segmentation,end_to_end_tcn_duration,naive_time_sync,17,simulation_g1_to_g2_end_to_end__seed_17,validation,edit_score,0.4455971241538676,higher,available,,False,end_to_end_finetuned_v1
