seed,method,task,consumer,metric,direction,fold_count,available_fold_count,mean,std,minimum,maximum,worst_fold_value,statistical_unit,window_level_p_value_reported,representation_family
17,naive_time_sync,high_physiology_response_classification,minirocket,brier_score,lower,3,3,0.3300737825436733,0.4666075853437272,0.00013239479404309574,0.9899565580429337,0.9899565580429337,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,high_physiology_response_classification,minirocket,ece_10_bins,lower,3,3,0.1724870527184935,0.23496782422492976,0.006339710848396907,0.5047817364586866,0.5047817364586866,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,high_physiology_response_classification,minirocket,high_response_recall,higher,3,3,0.75,0.3535533905932738,0.25,1.0,0.25,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,high_physiology_response_classification,minirocket,macro_auprc,higher,3,3,0.87753424419838,0.17319273278092245,0.6326027325951401,0.9999999999999999,0.6326027325951401,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,high_physiology_response_classification,minirocket,macro_f1,higher,3,3,0.8285714285714286,0.24243661069253059,0.4857142857142857,1.0,0.4857142857142857,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,maneuver_intensity_classification,linear,balanced_accuracy,higher,3,3,0.7777777777777778,0.31426968052735443,0.3333333333333333,1.0,0.3333333333333333,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,maneuver_intensity_classification,linear,brier_score,lower,3,3,0.5327998977558587,0.49002958707801964,0.18629665375094714,1.2258063857656816,1.2258063857656816,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,maneuver_intensity_classification,linear,ece_10_bins,lower,3,3,0.41564021783482374,0.13948599897270303,0.3170087220806457,0.61290320934318,0.61290320934318,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,maneuver_intensity_classification,linear,macro_auprc,higher,3,3,0.8196474299092729,0.25505705063115053,0.4589422897278186,1.0,0.4589422897278186,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,maneuver_intensity_classification,linear,macro_f1,higher,3,3,0.7286821705426356,0.3837013541322351,0.18604651162790697,1.0,0.18604651162790697,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,maneuver_intensity_classification,minirocket,balanced_accuracy,higher,3,3,0.9444444444444445,0.0785674201318386,0.8333333333333334,1.0,0.8333333333333334,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,maneuver_intensity_classification,minirocket,brier_score,lower,3,3,0.11923087220858576,0.1679891488029169,0.0004446059242872293,0.35680340477718286,0.35680340477718286,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,maneuver_intensity_classification,minirocket,ece_10_bins,lower,3,3,0.05414656735199249,0.054956257487362895,0.015286625014044208,0.13186645202788905,0.13186645202788905,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,maneuver_intensity_classification,minirocket,macro_auprc,higher,3,3,0.9734666256961578,0.03752385779601538,0.9203998770884735,1.0,0.9203998770884735,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,maneuver_intensity_classification,minirocket,macro_f1,higher,3,3,0.9407407407407408,0.08380524814062781,0.8222222222222223,1.0,0.8222222222222223,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,physiology_response_regression,linear,mae,lower,3,3,2.352231822888958,3.3085396597045826,0.012740993687215247,7.031213481292443,7.031213481292443,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,physiology_response_regression,linear,rmse,lower,3,3,2.366034819964381,3.324123174805766,0.015524781559868334,7.0670548967734055,7.0670548967734055,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,physiology_response_regression,linear,spearman,higher,3,3,0.7845012977382275,0.29658108671791716,0.3650723025583982,0.9942157953281423,0.3650723025583982,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,physiology_response_regression,minirocket,mae,lower,3,3,0.24517925747773964,0.3336463814946327,0.009255638604531047,0.7170264952241568,0.7170264952241568,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,physiology_response_regression,minirocket,rmse,lower,3,3,0.3269687608336332,0.4435628756907647,0.013322443550087899,0.9542613954007237,0.9542613954007237,view_fold,False,frozen_task_agnostic_v2
17,naive_time_sync,physiology_response_regression,minirocket,spearman,higher,3,3,0.7880608083055245,0.299098040777758,0.3650723025583982,0.9995550611790878,0.3650723025583982,view_fold,False,frozen_task_agnostic_v2
17,physiology_only,high_physiology_response_classification,linear,balanced_accuracy,higher,3,3,0.6704545454545454,0.12052956497497966,0.5,0.7556818181818181,0.5,view_fold,False,frozen_task_agnostic_v2
17,physiology_only,high_physiology_response_classification,linear,brier_score,lower,3,3,0.6694805805690095,0.4694148869780908,0.3371714252949801,1.3333333329723944,1.3333333329723944,view_fold,False,frozen_task_agnostic_v2
17,physiology_only,high_physiology_response_classification,linear,ece_10_bins,lower,3,3,0.2842016422474639,0.2704438257611058,0.09255290268103514,0.6666666665188448,0.6666666665188448,view_fold,False,frozen_task_agnostic_v2
